"hgroup","genesymbol_source","genesymbol_target"
536,"Agl","AGL"
537,"Ccr2","CCR2"
539,"Sell","SELL"
540,"Tgfb1","TGFB1"
542,"Abat","ABAT"
543,"Ache","ACHE"
550,"Adora3","ADORA3"
551,"Adra1d","ADRA1D"
553,"Adra2b","ADRA2B"
554,"Ahcy","AHCY"
560,"Alox12","ALOX12"
561,"Alox5","ALOX5"
563,"Anxa1","ANXA1"
564,"Atp1a1","ATP1A1"
568,"Avpr1a","AVPR1A"
569,"Bckdha","BCKDHA"
570,"Bdkrb1","BDKRB1"
572,"Blvra","BLVRA"
573,"Blvrb","BLVRB"
574,"Tspo","TSPO"
578,"Cacna1d","CACNA1D"
579,"Cacna2d1","CACNA2D1"
582,"Cacng1","CACNG1"
583,"Cck","CCK"
585,"Cd3d","CD3D"
586,"Cd3e","CD3E"
587,"Cga","CGA"
591,"Chrna3","CHRNA3"
592,"Chrna4","CHRNA4"
593,"Chrna7","CHRNA7"
594,"Chrnb1","CHRNB1"
595,"Chrnb2","CHRNB2"
598,"Crat","CRAT"
599,"Crh","CRH"
600,"Csf2","CSF2"
601,"Csf3r","CSF3R"
615,"Dbh","DBH"
616,"Dck","DCK"
618,"Ddc","DDC"
620,"Dio1","DIO1"
621,"Dio2","DIO2"
623,"Drd3","DRD3"
624,"Epo","EPO"
625,"Fgf1","FGF1"
627,"Folr2","FOLR2"
628,"Gast","GAST"
629,"Gabra1","GABRA1"
631,"Gabra4","GABRA4"
633,"Gabrb3","GABRB3"
635,"Gad1","GAD1"
637,"Gart","GART"
638,"Gas6","GAS6"
639,"Ggcx","GGCX"
640,"Ghrhr","GHRHR"
641,"Gnrh1","GNRH1"
645,"Grin2a","GRIN2A"
646,"Grin2b","GRIN2B"
647,"Grin2c","GRIN2C"
648,"Grin2d","GRIN2D"
649,"Grm1","GRM1"
651,"Grm3","GRM3"
654,"Grm8","GRM8"
658,"Gstm5","GSTM3"
660,"Gstp1","GSTP1"
660,"Gstp2","GSTP1"
660,"Gm3934","GSTP1"
664,"Gucy1b3","GUCY1B3"
665,"Guk1","GUK1"
668,"Hrh1","HRH1"
669,"Htr1b","HTR1B"
671,"Htr3a","HTR3A"
673,"Htr6","HTR6"
675,"Icam2","ICAM2"
676,"Igf2r","IGF2R"
677,"Il1r1","IL1R1"
679,"Il5","IL5"
680,"Il7","IL7"
681,"Il12a","IL12A"
685,"Itgb6","ITGB6"
692,"Kitl","KITLG"
693,"Mgp","MGP"
695,"Nqo1","NQO1"
696,"Nqo2","NQO2"
697,"Npy","NPY"
699,"Npr3","NPR3"
700,"Npy1r","NPY1R"
701,"Npy2r","NPY2R"
708,"Pde3a","PDE3A"
709,"Pde3b","PDE3B"
712,"Pdhb","PDHB"
713,"Pgr","PGR"
715,"Pla2g1b","PLA2G1B"
716,"Pla2g5","PLA2G5"
717,"Plat","PLAT"
719,"Serpinf2","SERPINF2"
721,"Polr2a","POLR2A"
722,"Polr2b","POLR2B"
723,"Pomc","POMC"
725,"Por","POR"
726,"Ppib","PPIB"
727,"Ppic","PPIC"
730,"Prim1","PRIM1"
731,"Prim2","PRIM2"
732,"Prl","PRL"
733,"Prlr","PRLR"
734,"Prrg1","PRRG1"
735,"Prrg2","PRRG2"
736,"Ptgdr","PTGDR"
737,"Ptgds","PTGDS"
738,"Ptger1","PTGER1"
739,"Ptger2","PTGER2"
741,"Ptgfr","PTGFR"
743,"Ptgs1","PTGS1"
747,"Rpl3","RPL3"
748,"Rpl4","RPL4"
756,"Rpl18","RPL18"
763,"Rpl24","RPL24"
766,"Rpl30","RPL30"
768,"Rpl28","RPL28"
779,"Rps3","RPS3"
783,"Rps5","RPS5"
788,"Rps10","RPS10"
794,"Rps16","RPS16"
799,"Rps23","RPS23"
806,"Rrm1","RRM1"
810,"Scn1b","SCN1B"
811,"Scnn1a","SCNN1A"
813,"Shbg","SHBG"
816,"Slc6a2","SLC6A2"
817,"Slc6a4","SLC6A4"
819,"Sst","SST"
820,"Sstr1","SSTR1"
824,"Tacr3","TACR3"
825,"Tbxa2r","TBXA2R"
828,"Tnfrsf1a","TNFRSF1A"
829,"Tnfrsf1b","TNFRSF1B"
830,"Top2a","TOP2A"
833,"Tubg1","TUBG1"
834,"Tyms","TYMS"
838,"Vcam1","VCAM1"
839,"Zap70","ZAP70"
840,"Aldh5a1","ALDH5A1"
842,"Pde5a","PDE5A"
843,"Plod3","PLOD3"
846,"Aamp","AAMP"
849,"Abcf1","ABCF1"
854,"Acly","ACLY"
855,"Acr","ACR"
856,"Aco2","ACO2"
863,"Acvr2b","ACVR2B"
865,"Adam10","ADAM10"
866,"Adcy7","ADCY7"
868,"Adcy9","ADCY9"
869,"Adcyap1","ADCYAP1"
870,"Adcyap1r1","ADCYAP1R1"
871,"Mfsd10","MFSD10"
872,"Plin2","PLIN2"
873,"Adm","ADM"
874,"Adprh","ADPRH"
875,"Adss","ADSS"
878,"Aebp1","AEBP1"
879,"Aes","AES"
881,"Afm","AFM"
883,"Ager","AGER"
884,"Alox12b","ALOX12B"
886,"Alox8","ALOX15B"
888,"Amfr","AMFR"
896,"Nudt2","NUDT2"
897,"Apba1","APBA1"
898,"Apbb1","APBB1"
899,"Birc3","BIRC3"
900,"Birc2","BIRC2"
901,"Xiap","XIAP"
906,"Arg2","ARG2"
907,"Arhgap5","ARHGAP5"
908,"Arhgdia","ARHGDIA"
910,"Arntl","ARNTL"
911,"Art3","ART3"
912,"Asgr2","ASGR2"
913,"Aldh7a1","ALDH7A1"
914,"Atp6ap1","ATP6AP1"
915,"Azgp1","AZGP1"
916,"Bach1","BACH1"
917,"Bak1","BAK1"
920,"Tnfrsf17","TNFRSF17"
922,"Bfsp1","BFSP1"
923,"Bid","BID"
924,"Bik","BIK"
925,"Prdm1","PRDM1"
926,"Bmp2","BMP2"
927,"Bmp3","BMP3"
929,"Bmpr2","BMPR2"
930,"Bnip1","BNIP1"
931,"Klf9","KLF9"
933,"Bub1b","BUB1B"
936,"Calu","CALU"
942,"Cav2","CAV2"
946,"Ccnh","CCNH"
947,"Ccnt1","CCNT1"
949,"Tnfrsf8","TNFRSF8"
950,"Tnfsf8","TNFSF8"
954,"Cd40","CD40"
955,"Cd68","CD68"
956,"Cd70","CD70"
960,"Cdc27","CDC27"
963,"Cdk6","CDK6"
966,"Cdkn2c","CDKN2C"
968,"Cdx2","CDX2"
970,"Rcbtb2","RCBTB2"
975,"Chek1","CHEK1"
976,"Chga","CHGA"
979,"Chuk","CHUK"
980,"Cirbp","CIRBP"
981,"Tbcb","TBCB"
984,"Clca3","CLCA1"
985,"Clcn6","CLCN6"
987,"Clic5","CLIC5"
989,"Ldb2","LDB2"
990,"Clns1a","CLNS1A"
992,"Ackr2","ACKR2"
994,"Cnga3","CNGA3"
995,"Cnn1","CNN1"
996,"Klf6","KLF6"
997,"Cort","CORT"
999,"Cpd","CPD"
1000,"Cldn4","CLDN4"
1001,"Cldn3","CLDN3"
1002,"Cpn1","CPN1"
1003,"Crebl2","CREBL2"
1006,"Cse1l","CSE1L"
1011,"Cst6","CST6"
1012,"Cstf1","CSTF1"
1014,"Cstf3","CSTF3"
1015,"Ctbp1","CTBP1"
1016,"Ctf1","CTF1"
1017,"Ctnnd1","CTNND1"
1020,"Ctso","CTSO"
1022,"Ctsz","CTSZ"
1024,"Cxadr","CXADR"
1026,"Dab2","DAB2"
1027,"Dad1","DAD1"
1028,"Dgka","DGKA"
1029,"Dgkg","DGKG"
1032,"Dars","DARS"
1033,"Daxx","DAXX"
1035,"Dbp","DBP"
1038,"Ddt","DDT"
1039,"Dhx9","DHX9"
1040,"Dhx15","DHX15"
1042,"Dhcr7","DHCR7"
1043,"Dhodh","DHODH"
1044,"Dio3","DIO3"
1045,"Dkc1","DKC1"
1046,"Dlg2","DLG2"
1047,"Dlg4","DLG4"
1048,"Dnah5","DNAH5"
1049,"Dnah8","DNAH8"
1052,"Dnase2b","DNASE2B"
1053,"Dync1h1","DYNC1H1"
1057,"Dok1","DOK1"
1058,"Dpagt1","DPAGT1"
1059,"Dph1","DPH1"
1060,"Dph2","DPH2"
1061,"Drg2","DRG2"
1064,"Ecm2","ECM2"
1065,"Dusp4","DUSP4"
1066,"Dusp9","DUSP9"
1068,"Ece1","ECE1"
1069,"Ech1","ECH1"
1071,"S1pr1","S1PR1"
1072,"Lpar1","LPAR1"
1075,"Efna2","EFNA2"
1076,"Efnb3","EFNB3"
1077,"Celsr3","CELSR3"
1078,"Celsr2","CELSR2"
1080,"Eif2b1","EIF2B1"
1088,"Emp1","EMP1"
1089,"Emp2","EMP2"
1090,"Emp3","EMP3"
1094,"Ep300","EP300"
1095,"Epas1","EPAS1"
1097,"Ereg","EREG"
1099,"Fbl","FBL"
1100,"Esr2","ESR2"
1102,"Extl2","EXTL2"
1103,"Extl3","EXTL3"
1106,"Fabp1","FABP1"
1108,"Fabp6","FABP6"
1110,"Fat2","FAT2"
1114,"Foxf1","FOXF1"
1115,"Foxf2","FOXF2"
1117,"Foxj1","FOXJ1"
1119,"Flna","FLNA"
1126,"Frzb","FRZB"
1127,"Adam2","ADAM2"
1132,"Gabbr1","GABBR1"
1133,"B4galnt1","B4GALNT1"
1135,"Gas8","GAS8"
1136,"Gatm","GATM"
1137,"Gbas","GBAS"
1138,"Gbx2","GBX2"
1139,"Gckr","GCKR"
1140,"Bloc1s1","BLOC1S1"
1145,"Gfra2","GFRA2"
1146,"Gfra3","GFRA3"
1148,"Gclc","GCLC"
1152,"Gpld1","GPLD1"
1153,"Cxcr3","CXCR3"
1155,"Gpx5","GPX5"
1158,"Gtf2b","GTF2B"
1159,"Gtf2h2","GTF2H2"
1160,"Gtf2h3","GTF2H3"
1161,"Brf1","BRF1"
1165,"Has1","HAS1"
1166,"Hcrt","HCRT"
1168,"Hcrtr2","HCRTR2"
1170,"Hgfac","HGFAC"
1171,"Hif1a","HIF1A"
1174,"Hnrnpl","HNRNPL"
1180,"Hspb1","HSPB1"
1182,"Igsf3","IGSF3"
1185,"Ict1","ICT1"
1186,"Id4","ID4"
1187,"Ifit2","IFIT2"
1189,"I830012O16Rik","IFIT3"
1189,"Ifit3","IFIT3"
1192,"Igfbp4","IGFBP4"
1193,"Igfbp7","IGFBP7"
1194,"Cyr61","CYR61"
1195,"Igsf1","IGSF1"
1196,"Il10ra","IL10RA"
1197,"Il12rb2","IL12RB2"
1198,"Il13ra1","IL13RA1"
1199,"Tnfrsf9","TNFRSF9"
1200,"Il18","IL18"
1201,"Impg1","IMPG1"
1203,"Cxcl10","CXCL10"
1204,"Inppl1","INPPL1"
1205,"Eif3e","EIF3E"
1207,"Irak2","IRAK2"
1208,"Irf3","IRF3"
1212,"Pax6","PAX6"
1213,"Aars","AARS"
1216,"Acadsb","ACADSB"
1217,"Acp2","ACP2"
1219,"Acrv1","ACRV1"
1221,"Add2","ADD2"
1222,"Parp1","PARP1"
1223,"Adrbk1","ADRBK1"
1224,"Ahr","AHR"
1225,"Ahsg","AHSG"
1226,"Aif1","AIF1"
1227,"Ak2","AK2"
1229,"Alcam","ALCAM"
1231,"Alox5ap","ALOX5AP"
1234,"Ambp","AMBP"
1235,"Amd1","AMD1"
1235,"Amd2","AMD1"
1238,"Aoah","AOAH"
1240,"Apeh","APEH"
1241,"Apex1","APEX1"
1242,"Apoa2","APOA2"
1243,"Apobec1","APOBEC1"
1245,"Apoc4","APOC4"
1246,"Apod","APOD"
1249,"Araf","ARAF"
1250,"Arcn1","ARCN1"
1251,"Trim23","TRIM23"
1252,"Areg","AREG"
1255,"Arl4d","ARL4D"
1256,"Arf6","ARF6"
1260,"Arl2","ARL2"
1261,"Arnt","ARNT"
1263,"Asgr1","ASGR1"
1264,"a","ASIP"
1265,"Atf3","ATF3"
1266,"Atf4","ATF4"
1272,"Atp5j","ATP5J"
1273,"Atp5b","ATP5B"
1275,"Atp5f1","ATP5F1"
1279,"Atp6v1b2","ATP6V1B2"
1281,"Atp6v1c1","ATP6V1C1"
1282,"Atp6v1e1","ATP6V1E1"
1283,"Atp5o","ATP5O"
1284,"Auh","AUH"
1286,"Baat","BAAT"
1287,"Bai1","BAI1"
1288,"Bai2","BAI2"
1289,"Bai3","BAI3"
1290,"Bcl7b","BCL7B"
1291,"Opn1sw","OPN1SW"
1292,"Cfb","CFB"
1293,"Bgn","BGN"
1295,"Bhmt","BHMT"
1297,"Blk","BLK"
1298,"Cxcr5","CXCR5"
1300,"Bmp6","BMP6"
1302,"Tec","TEC"
1303,"Polr3d","POLR3D"
1307,"Brs3","BRS3"
1308,"Bsg","BSG"
1309,"Btc","BTC"
1312,"Btn1a1","BTN1A1"
1313,"C1ra","C1R"
1313,"C1rb","C1R"
1314,"C1s","C1S"
1314,"Gm5077","C1S"
1318,"Calb2","CALB2"
1320,"Calcr","CALCR"
1323,"Caml","CAMLG"
1324,"Canx","CANX"
1326,"Capn2","CAPN2"
1327,"Capns1","CAPNS1"
1328,"Cars","CARS"
1330,"Cav1","CAV1"
1331,"Runx1","RUNX1"
1334,"Ccnd1","CCND1"
1335,"Ccnf","CCNF"
1336,"Cct6a","CCT6A"
1337,"Cd1d1","CD1D"
1338,"Cd2","CD2"
1341,"Cd19","CD19"
1343,"Cd34","CD34"
1345,"Cd38","CD38"
1346,"Cd47","CD47"
1347,"Cd48","CD48"
1350,"Cd72","CD72"
1352,"Cda","CDA"
1354,"Sept7","SEPT7"
1355,"Cdc25a","CDC25A"
1356,"Cdc25c","CDC25C"
1359,"Cdh5","CDH5"
1361,"Cdh11","CDH11"
1363,"Cdk7","CDK7"
1365,"Cdo1","CDO1"
1366,"Cdx1","CDX1"
1367,"Cebpe","CEBPE"
1368,"Cebpg","CEBPG"
1369,"Cenpa","CENPA"
1370,"Cenpb","CENPB"
1371,"Cenpc1","CENPC"
1373,"Ctsc","CTSC"
1375,"Chgb","CHGB"
1382,"Clu","CLU"
1383,"Clps","CLPS"
1384,"Clta","CLTA"
1387,"Ccr7","CCR7"
1389,"Cnr2","CNR2"
1390,"Col4a2","COL4A2"
1391,"Col6a1","COL6A1"
1392,"Col6a2","COL6A2"
1393,"Col9a1","COL9A1"
1396,"Col15a1","COL15A1"
1397,"Col16a1","COL16A1"
1399,"Slc31a1","SLC31A1"
1406,"Cox7b","COX7B"
1412,"Cad","CAD"
1413,"Cpt1a","CPT1A"
1415,"Crabp2","CRABP2"
1418,"Crhbp","CRHBP"
1420,"Hapln1","HAPLN1"
1422,"Cryba4","CRYBA4"
1423,"Crybb1","CRYBB1"
1424,"Crym","CRYM"
1426,"Csn2","CSN2"
1431,"Ctgf","CTGF"
1432,"Cth","CTH"
1433,"Ctnna1","CTNNA1"
1434,"Ctnnb1","CTNNB1"
1444,"Dbt","DBT"
1447,"Dct","DCT"
1448,"Ddb1","DDB1"
1449,"Gadd45a","GADD45A"
1453,"Dhps","DHPS"
1455,"Mpp7","MPP7"
1456,"Dlst","DLST"
1458,"Dpt","DPT"
1461,"Atn1","ATN1"
1462,"Dsc3","DSC3"
1463,"Dsg1a","DSG1"
1463,"Dsg1b","DSG1"
1464,"Dsg2","DSG2"
1466,"Hbegf","HBEGF"
1468,"Dusp7","DUSP7"
1471,"E2f4","E2F4"
1472,"E2f5","E2F5"
1473,"E2f6","E2F6"
1474,"Tymp","TYMP"
1476,"Edn1","EDN1"
1477,"Edn2","EDN2"
1478,"Ednra","EDNRA"
1480,"Eef1b2","EEF1B2"
1482,"Efna5","EFNA5"
1483,"Egf","EGF"
1485,"Egr4","EGR4"
1486,"Ehhadh","EHHADH"
1487,"Eif4a2","EIF4A2"
1490,"Eif5a2","EIF5A2"
1492,"Elk4","ELK4"
1493,"Emr1","EMR1"
1496,"Dmtn","DMTN"
1501,"Ercc1","ERCC1"
1503,"Etfb","ETFB"
1504,"Etv4","ETV4"
1506,"Evpl","EVPL"
1507,"Evx1","EVX1"
1508,"Eya3","EYA3"
1510,"F2r","F2R"
1511,"F3","F3"
1512,"F13b","F13B"
1514,"Fbln2","FBLN2"
1515,"Fbn2","FBN2"
1516,"Fcer1a","FCER1A"
1517,"Fcer2a","FCER2"
1518,"Fcnb","FCN1"
1519,"Fdps","FDPS"
1521,"Fgf2","FGF2"
1522,"Fgf4","FGF4"
1523,"Fgf9","FGF9"
1525,"Fkbp3","FKBP3"
1527,"Foxo1","FOXO1"
1530,"Fmod","FMOD"
1531,"Fmr1","FMR1"
1533,"Fn1","FN1"
1534,"Fnta","FNTA"
1535,"Fntb","FNTB"
1538,"Fut4","FUT4"
1539,"Kdsr","KDSR"
1542,"Gab1","GAB1"
1543,"Gabpa","GABPA"
1545,"Gap43","GAP43"
1547,"Gars","GARS"
1548,"Gas1","GAS1"
1549,"Gata1","GATA1"
1550,"Gata3","GATA3"
1551,"Gata4","GATA4"
1554,"Gfap","GFAP"
1556,"Gja4","GJA4"
1557,"Gclm","GCLM"
1558,"Glp1r","GLP1R"
1563,"Gna15","GNA15"
1566,"Gnaq","GNAQ"
1568,"Gns","GNS"
1571,"Got1","GOT1"
1572,"Got2","GOT2"
1576,"Grb2","GRB2"
1577,"Grn","GRN"
1578,"Grik5","GRIK5"
1580,"Grp","GRP"
1585,"Gtf2f1","GTF2F1"
1586,"Guca1b","GUCA1B"
1592,"Hars","HARS"
1593,"Htt","HTT"
1596,"Hivep1","HIVEP1"
1601,"H2-Oa","HLA-DOA"
1602,"H2-Ob","HLA-DOB"
1603,"H2-Ab1","HLA-DQB1"
1609,"Hmgcs1","HMGCS1"
1611,"Hmox2","HMOX2"
1612,"Nr4a1","NR4A1"
1615,"Hoxb1","HOXB1"
1617,"Hoxb3","HOXB3"
1619,"Hoxd10","HOXD10"
1620,"Hpd","HPD"
1624,"Hspa4","HSPA4"
1626,"Hspd1","HSPD1"
1629,"Irf8","IRF8"
1631,"Id1","ID1"
1632,"Id2","ID2"
1633,"Id3","ID3"
1640,"Ifnb1","IFNB1"
1641,"Igfbp6","IGFBP6"
1642,"Ighmbp2","IGHMBP2"
1643,"Il1rap","IL1RAP"
1645,"Il6st","IL6ST"
1646,"Il7r","IL7R"
1648,"Il12b","IL12B"
1649,"Il13","IL13"
1650,"Il15ra","IL15RA"
1651,"Il17a","IL17A"
1652,"Inha","INHA"
1653,"Inhba","INHBA"
1654,"Inhbb","INHBB"
1655,"Inpp1","INPP1"
1657,"Aco1","ACO1"
1658,"Irf1","IRF1"
1659,"Irf2","IRF2"
1661,"Isl1","ISL1"
1662,"Itga2","ITGA2"
1664,"Itga9","ITGA9"
1666,"Itgal","ITGAL"
1667,"Itih1","ITIH1"
1668,"Itih2","ITIH2"
